AnimalAnonID@RecordingInstitution@MeasurementType@RecordType@MeasurementValue@EstimatedMeasurement@ExcludededFromNorms@MeasurementDate@MeasurementDateEstimateType@MeasurementDateEstimateStart@MeasurementDateEstimateEnd@CollectionScopeType@AnimalAgeMonths@AnimalAgeDays@Age@UnitOfMeasure
191513@114122@Live weight@@1.076@0@NA@2006-03-28@NA@NA@NA@NA@344@10494@28.75068493150685@kg
191513@114122@Live weight@@1.175@0@NA@2017-03-16@NA@NA@NA@NA@476@14500@39.726027397260275@kg
191513@114122@Live weight@@1.237@0@NA@2016-06-02@NA@NA@NA@NA@466@14213@38.93972602739726@kg
197027@33954@Live weight@@0.22@0@NA@1991-11-10@NA@NA@NA@NA@0@1@0.0027397260273972603@kg
220777@122408@Live weight@@1.15@0@NA@1989-03-21@NA@NA@NA@NA@33@1026@2.8109589041095893@kg
237562@23814@Live weight@@2.4@0@NA@1996-06-23@NA@NA@NA@NA@252@7693@21.076712328767123@kg
237562@23814@Live weight@@2.15@0@NA@1996-04-11@NA@NA@NA@NA@250@7620@20.876712328767123@kg
237562@23814@Live weight@@2.236@0@NA@1996-01-07@NA@NA@NA@NA@247@7525@20.616438356164384@kg
237562@23814@Live weight@@2.204@0@NA@1996-03-05@NA@NA@NA@NA@249@7583@20.775342465753425@kg
237562@23814@Live weight@@2.222@0@NA@1996-01-30@NA@NA@NA@NA@247@7548@20.67945205479452@kg
237562@23814@Live weight@@2.4@0@NA@1995-07-11@NA@NA@NA@NA@241@7345@20.123287671232877@kg
237562@23814@Live weight@@2.04@0@NA@1996-08-15@NA@NA@NA@NA@254@7746@21.221917808219178@kg
242874@153376@Live weight@@0.5@0@NA@2018-01-06@NA@NA@NA@NA@216@6580@18.027397260273972@kg
255293@44462@Live weight@@0.0298@0@NA@2014-02-26@NA@NA@NA@NA@18@565@1.547945205479452@kg
255293@44462@Live weight@@0.028@0@NA@2013-11-01@NA@NA@NA@NA@14@448@1.2273972602739727@kg
259472@33954@Live weight@@0.885@0@NA@2009-07-08@NA@NA@NA@NA@144@4394@12.038356164383561@kg
260352@138725@Live weight@@1@0@NA@2021-06-24@NA@NA@NA@NA@120@3662@10.032876712328767@kg
260352@138725@Live weight@@1.2@0@NA@2022-10-15@NA@NA@NA@NA@136@4140@11.342465753424657@kg
260352@138725@Live weight@@0.467@0@NA@2017-04-28@NA@NA@NA@NA@70@2144@5.873972602739726@kg
260352@138725@Live weight@@1.14@0@NA@2022-08-21@NA@NA@NA@NA@134@4085@11.191780821917808@kg
260352@138725@Live weight@@1.01@0@NA@2020-03-16@NA@NA@NA@NA@105@3197@8.758904109589041@kg
260352@138725@Live weight@@1.12@0@NA@2022-09-13@NA@NA@NA@NA@134@4108@11.254794520547945@kg
260352@138725@Live weight@@1.25@0@NA@2021-06-05@NA@NA@NA@NA@119@3643@9.98082191780822@kg
260352@138725@Live weight@@0.76@0@NA@2019-03-06@NA@NA@NA@NA@92@2821@7.728767123287671@kg
260352@138725@Live weight@@0.73@0@NA@2019-09-26@NA@NA@NA@NA@99@3025@8.287671232876713@kg
