AnimalAnonID@RecordingInstitution@CollectionNameLocal@CollectionNameEnglish@CollectionType@ScopeType@ChangeDate
3288533@33954@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1992-05-14
4412743@33954@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1997-07-27
2128994@33954@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1988-03-14
1084038@33954@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1997-07-21
1717598@33954@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1988-04-08
3472165@33954@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1988-11-06
3444227@33954@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1998-11-16
3706905@33954@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1998-12-22
2780862@33954@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1992-05-13
1908824@33954@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1995-08-09
3438909@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1993-12-31
430412@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2011-01-27
1623961@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1999-10-06
559552@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1995-05-10
3047336@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2011-09-16
105692@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1992-11-28
548962@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1989-08-18
4461344@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2012-05-23
1378348@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2014-12-11
1378348@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2011-10-25
4198406@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1987-04-07
1378348@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2010-10-04
1736863@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1998-11-14
2618314@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2011-10-25
141786@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2002-04-17
1257566@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1994-07-25
3341296@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1990-04-21
4019691@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1995-04-25
2755225@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1991-08-02
1672958@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1989-08-18
3438909@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1987-08-09
3756451@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1990-12-02
2458532@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1994-11-09
574343@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1990-11-15
1308567@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2011-01-27
394855@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1995-12-14
3314646@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2014-12-11
1356441@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2011-01-27
2172132@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1993-12-31
690257@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1992-08-18
404825@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2011-01-27
1634770@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2011-01-27
1013814@34263@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2011-04-03
994948@35001@Quarantine Collection@Quarantine Collection@Quarantine@Global@2020-03-12
3980569@35001@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2017-10-23
4156088@35726@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2002-03-22
4398353@36548@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2019-10-16
1691712@36548@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2011-09-26
2803005@36548@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2012-05-07
