AnimalAnonID@EventType@TermType@Date@From@To
1904613@Birth/hatch@Birth/hatch (physical and ownership)@1989-09-13 00:00:00.000@NA@72427
1915752@From another institution@Loan in from (physical only)@1998-09-30 00:00:00.000@NA@41678
1379830@Rescued@Rescued (physical and ownership)@2018-01-01 00:00:00.000@NA@123651
1577549@Birth/hatch@Birth/hatch (physical and ownership)@2017-12-27 00:00:00.000@NA@174221
1446195@Birth/hatch@Birth/hatch (physical and ownership)@2014-08-15 00:00:00.000@NA@123623
316217@Birth/hatch@Birth/hatch (physical and ownership)@2015-08-20 00:00:00.000@NA@25731
313412@From another institution@Loan in from (physical only)@2010-10-11 00:00:00.000@NA@41678
317689@Birth/hatch@Birth/hatch (physical and ownership)@2019-08-06 00:00:00.000@NA@115108
538306@Birth/hatch@Birth/hatch (physical and ownership)@1988-07-22 00:00:00.000@NA@33954
528765@Rescued@Rescued (physical only)@2018-07-28 00:00:00.000@NA@36548
556308@From another institution@Donation from (ownership only)@1999-02-25 00:00:00.000@NA@NA
556308@From another institution@Loan in from (physical only)@1998-02-28 00:00:00.000@NA@11523
548962@Birth/hatch@Birth/hatch (physical and ownership)@1989-08-18 00:00:00.000@NA@34263
590647@Undetermined@Undetermined (physical and ownership)@2011-01-01 00:00:00.000@NA@138417
728420@Birth/hatch@Birth/hatch (physical and ownership)@2016-03-19 00:00:00.000@NA@79827
759775@Birth/hatch@Birth/hatch (physical and ownership)@1988-08-25 00:00:00.000@NA@34263
720584@Birth/hatch@Birth/hatch (physical and ownership)@2009-07-29 00:00:00.000@NA@111450
766497@Birth/hatch@Birth/hatch (physical and ownership)@2000-10-02 00:00:00.000@NA@150898
746505@Birth/hatch@Birth/hatch (physical and ownership)@1994-08-09 00:00:00.000@NA@79224
771900@Birth/hatch@Birth/hatch (physical and ownership)@2007-12-01 00:00:00.000@NA@3217
876096@Birth/hatch@Birth/hatch (physical and ownership)@1990-11-23 00:00:00.000@NA@66350
876381@Rescued@Rescued (physical and ownership)@2021-10-25 00:00:00.000@NA@123651
1913910@Birth/hatch@Birth/hatch (physical and ownership)@2019-07-22 00:00:00.000@NA@115108
1939389@Appeared@Appeared (physical and ownership)@2015-06-13 00:00:00.000@NA@121600
973900@Birth/hatch@Birth/hatch (physical and ownership)@2017-07-22 00:00:00.000@NA@174221
1551861@Birth/hatch@Birth/hatch (physical and ownership)@2008-09-01 00:00:00.000@NA@36548
1201924@From another institution@Loan in from (physical only)@1991-07-27 00:00:00.000@NA@120782
2004722@Birth/hatch@Birth/hatch (physical and ownership)@1997-07-06 00:00:00.000@NA@79224
1972960@Birth/hatch@Birth/hatch (physical and ownership)@2014-08-15 00:00:00.000@NA@123623
2028492@Birth/hatch@Birth/hatch (physical only)@2017-07-11 00:00:00.000@NA@21224
1352898@From another institution@Loan in from (physical only)@2006-01-01 00:00:00.000@NA@36548
1699882@Undetermined@Undetermined (physical and ownership)@2012-03-04 00:00:00.000@NA@52629
1181783@From another institution@Loan in from (physical only)@1998-09-30 00:00:00.000@NA@41678
1129577@Birth/hatch@Birth/hatch (physical and ownership)@2010-08-15 00:00:00.000@NA@123623
1248753@From another institution@Loan in from (physical only)@2011-07-01 00:00:00.000@NA@36548
1173539@From another institution@Loan in from (physical only)@2011-01-27 00:00:00.000@NA@34263
670982@Birth/hatch@Birth/hatch (physical and ownership)@2012-10-15 00:00:00.000@NA@93831
692205@Birth/hatch@Birth/hatch (physical and ownership)@2008-09-01 00:00:00.000@NA@36548
1841905@Birth/hatch@Birth/hatch (physical and ownership)@2001-08-04 00:00:00.000@NA@114122
1665574@Birth/hatch@Birth/hatch (physical and ownership)@1995-12-24 00:00:00.000@NA@111450
1691194@Birth/hatch@Birth/hatch (physical and ownership)@2003-09-10 00:00:00.000@NA@23166
661677@Birth/hatch@Birth/hatch (physical and ownership)@2021-11-23 00:00:00.000@NA@174221
699621@Rescued@Rescued (physical only)@2016-07-27 00:00:00.000@NA@36548
699835@Birth/hatch@Birth/hatch (physical and ownership)@2015-07-17 00:00:00.000@NA@63414
693327@From another institution@Loan in from (physical only)@2004-08-31 00:00:00.000@NA@126462
747539@Birth/hatch@Birth/hatch (physical and ownership)@2017-09-01 00:00:00.000@NA@36548
717112@From another institution@Loan in from (physical only)@2006-01-01 00:00:00.000@NA@36548
717493@Appeared@Appeared (physical and ownership)@1996-01-01 00:00:00.000@NA@115158
733872@Birth/hatch@Birth/hatch (physical and ownership)@2012-08-10 00:00:00.000@NA@44462
1026387@Birth/hatch@Birth/hatch (physical and ownership)@2001-08-15 00:00:00.000@NA@123623
898487@Birth/hatch@Birth/hatch (physical and ownership)@1988-09-07 00:00:00.000@NA@41678
1036492@Birth/hatch@Birth/hatch (physical and ownership)@2010-06-15 00:00:00.000@NA@65498
778528@Merged into group@@2014-07-05 00:00:00.000@NA@150949
840880@Birth/hatch@Birth/hatch (physical and ownership)@2011-09-26 00:00:00.000@NA@36548
614070@Birth/hatch@Birth/hatch (physical and ownership)@2007-09-13 00:00:00.000@NA@41678
1704990@Birth/hatch@Birth/hatch (physical and ownership)@2005-01-01 00:00:00.000@NA@3217
1761904@Birth/hatch@Birth/hatch (physical and ownership)@2008-08-12 00:00:00.000@NA@61793
2551063@Birth/hatch@Birth/hatch (physical and ownership)@1992-07-01 00:00:00.000@NA@79224
2120594@From another institution@Loan in from (physical only)@2011-01-27 00:00:00.000@NA@34263
1290835@Rescued@Rescued (physical only)@2016-06-30 00:00:00.000@NA@36548
1056425@From another institution@Loan in from (physical only)@1998-09-30 00:00:00.000@NA@41678
737896@Birth/hatch@Birth/hatch (physical and ownership)@2012-08-10 00:00:00.000@NA@44462
788899@Rescued@Rescued (physical only)@2020-10-29 00:00:00.000@NA@16653
815252@Rescued@Rescued (physical and ownership)@2021-09-04 00:00:00.000@NA@4407
1142623@Rescued@Rescued (physical only)@2017-05-29 00:00:00.000@NA@36548
1164255@From another institution@Loan in from (physical only)@1994-10-05 00:00:00.000@NA@161038
1158376@Birth/hatch@Birth/hatch (physical and ownership)@2010-12-22 00:00:00.000@NA@111450
1242250@From another institution@Loan in from (physical only)@1998-09-30 00:00:00.000@NA@41678
785787@Undetermined@Undetermined (physical and ownership)@1994-03-31 00:00:00.000@NA@71089
909206@Birth/hatch@Birth/hatch (physical and ownership)@2019-07-10 00:00:00.000@NA@115108
1319344@Rescued@Rescued (physical and ownership)@2015-09-16 00:00:00.000@NA@15939
1560997@Birth/hatch@Birth/hatch (physical and ownership)@2001-08-29 00:00:00.000@NA@41678
2155314@Birth/hatch@Birth/hatch (physical and ownership)@1995-07-26 00:00:00.000@NA@79224
2234865@From another institution@Loan in from (physical only)@2009-09-01 00:00:00.000@NA@36548
1767792@Rescued@Rescued (physical and ownership)@2017-02-14 00:00:00.000@NA@35001
1798641@Birth/hatch@Birth/hatch (physical and ownership)@1992-01-20 00:00:00.000@NA@141397
1800589@From another institution@Loan in from (physical only)@1994-09-07 00:00:00.000@NA@161038
1800710@Birth/hatch@Birth/hatch (physical and ownership)@2011-09-26 00:00:00.000@NA@36548
2611497@Birth/hatch@Birth/hatch (physical and ownership)@1990-08-01 00:00:00.000@NA@143802
2476553@Birth/hatch@Birth/hatch (physical only)@2017-03-01 00:00:00.000@NA@21224
2628505@From another institution@Loan in from (physical only)@2000-11-06 00:00:00.000@NA@11523
2475245@From another institution@Loan in from (physical only)@1990-03-20 00:00:00.000@NA@156191
2292747@Birth/hatch@Birth/hatch (physical and ownership)@1991-09-20 00:00:00.000@NA@143802
2292935@Birth/hatch@Birth/hatch (physical and ownership)@1990-07-23 00:00:00.000@NA@48819
2293098@From lay@From Lay (Physical and Ownership)@2014-04-19 00:00:00.000@NA@111450
2250932@Birth/hatch@Birth/hatch (physical and ownership)@1991-09-14 00:00:00.000@NA@34263
1129379@Birth/hatch@Birth/hatch (physical and ownership)@1990-08-02 00:00:00.000@NA@34263
1370947@Birth/hatch@Birth/hatch (physical and ownership)@2019-07-02 00:00:00.000@NA@115108
1261844@From another institution@Loan in from (physical only)@2004-06-25 00:00:00.000@NA@11523
1261844@From another institution@Donation from (ownership only)@2007-11-23 00:00:00.000@NA@NA
2264309@Birth/hatch@Birth/hatch (physical and ownership)@2008-08-12 00:00:00.000@NA@61793
2184446@Birth/hatch@Birth/hatch (physical and ownership)@1991-10-19 00:00:00.000@NA@120859
2258745@Birth/hatch@Birth/hatch (physical and ownership)@2016-08-16 00:00:00.000@NA@87169
2069389@From another institution@Loan in from (physical only)@2011-05-28 00:00:00.000@NA@11616
2283263@From another institution@Loan in from (physical only)@1998-08-13 00:00:00.000@NA@150898
2647675@Term-free acquisition@Term free acquisition@2008-09-08 00:00:00.000@NA@48310
2283467@From another institution@Loan in from (physical only)@2003-11-05 00:00:00.000@NA@96179
1294675@Birth/hatch@Birth/hatch (physical and ownership)@2012-09-09 00:00:00.000@NA@123623
1352003@Birth/hatch@Birth/hatch (physical and ownership)@1996-09-15 00:00:00.000@NA@41678
1352380@Birth/hatch@Birth/hatch (physical and ownership)@1996-09-15 00:00:00.000@NA@41678
1205954@Rescued@Rescued (physical only)@2017-05-29 00:00:00.000@NA@36548
1264972@Birth/hatch@Birth/hatch (physical and ownership)@2005-07-31 00:00:00.000@NA@47761
1031559@Appeared@Appeared (physical only)@2018-05-28 00:00:00.000@NA@79827
1025024@Birth/hatch@Birth/hatch (physical and ownership)@2001-08-04 00:00:00.000@NA@114122
2334312@Rescued@Rescued (physical and ownership)@2017-01-01 00:00:00.000@NA@108911
2348896@Birth/hatch@Birth/hatch (physical and ownership)@2016-11-05 00:00:00.000@NA@79827
2379045@Birth/hatch@Birth/hatch (physical and ownership)@1997-10-12 00:00:00.000@NA@114907
2070902@From another institution@Loan in from (physical only)@1999-04-05 00:00:00.000@NA@94038
2171618@Rescued@Rescued (physical and ownership)@2017-10-23 00:00:00.000@NA@35001
2117813@From another institution@Loan in from (physical only)@2003-06-17 00:00:00.000@NA@125701
2163028@From another institution@Loan in from (physical only)@2006-01-01 00:00:00.000@NA@36548
2187500@Birth/hatch@Birth/hatch (physical and ownership)@2002-07-29 00:00:00.000@NA@114122
2209475@Birth/hatch@Birth/hatch (physical and ownership)@2011-09-26 00:00:00.000@NA@36548
